J1Sun		
J1Mon		
J1Tue		<br>But Peter|<br>Peter
J1Wed		<br>Again on the following day John|<br>John
J1Thu		
J1Fri		<br>After this he|<br>Jesus
J1Sat		<br>After this Jesus|<br>Jesus
J2Sun		<br>It was the evening of that day, the|<br>It was the evening of the
J2Mon		<br>On the third day there|<br>There
J2Tue		<br>‘For God|<br>The Lord said to Nicodemus … ‘God
J2Wed		<br>Jesus told them,|<br>Jesus told the Jews,
J2Thu		<br>‘Truly|<br>The Lord said … ‘Truly
J2Fri		<br>‘I|<br>The Lord said … ‘I
J2Sat		
J3Sun		
J3Mon		<br>So it was that Jesus|<br>Jesus
J3Tue		<br>‘Do not labour|<br>The Lord said … ‘Do not labour
J3Wed		<br>Jesus told them,|<br>Jesus said to the Jews,
J3Thu		<br>‘This|<br>The Lord said … ‘This
J3Fri		<br>‘I AM|<br>The Lord said … ‘I AM
J3Sat		<br>‘These|<br>The Lord said to his disciples … ‘These
J4Sun		<br>After this there|<br>There
J4Mon		<br>‘Those|<br>The Lord said … ‘Those
J4Tue		<br>After this Jesus|<br>Jesus
J4Wed		
J4Thu		<br>Once again Jesus spoke to them|<br>Once again Jesus spoke to the people
J4Fri		<br>Once more Jesus spoke to them|<br>Again Jesus spoke to the people
J4Sat		
J5Sun		<br>and so it was that he|<br>Jesus
J5Mon		<br>Then Jesus told them|<br>Jesus told the Jews
J5Tue		<br>‘Truly|<br>The Lord said … ‘Truly
J5Wed		
J5Thu		
J5Fri		<br>‘This|<br>The Lord said … ‘This
J5Sat		<br>‘the|<br>The Lord said … ‘The
J6Sun		<br>As he|<br>As Jesus
J6Mon		
J6Tue		
J6Wed		<br>‘While|<br>The Lord said … ‘While
J6Thu		<br>While they were talking about these things, Jesus himself stood among them|<br>After he had risen from the dead … Jesus stood among his disciples
J6Fri		<br>‘Do|<br>The Lord said to the Twelve … ‘Do
J6Sat		<br>‘Do|<br>The Lord said to the Twelve … ‘Do
J7Sun		<br>When Jesus had said this, he raised his eyes to heaven, saying,|<br>Jesus raised his eyes to heaven and  said,
J7Mon		<br>‘Peace|<br>The Lord said to the Twelve … ‘Peace
J7Tue		<br>‘They|<br>The Lord said to the Twelve … ‘They
J7Wed		<br>‘Everything|<br>The Lord said to the Twelve … ‘Everything
J7Thu		<br>‘On that day you will have no questions for me. Truly|<br>The Lord said to the Twelve … ‘Truly
J7Fri		<br>‘As|<br>Jesus, raising his eyes to heaven, said … ‘As
J7Sat		
J8Sun		
M1Mon		<br>‘See|<br>The Lord said to his disciples … ‘See
M1Tue		
M1Wed		<br>‘Indeed, I|<br>The Lord said to his disciples … ‘I
M1Thu		<br>‘You|<br>The Lord said to his disciples … ‘You
M1Fri		<br>‘Again, you|<br>The Lord said to his disciples … ‘You
M1Sat		<br>‘Give|<br>The Lord said to his disciples … ‘Give
M1Sun		<br>‘Everyone|<br>The Lord said to the Twelve … ‘Everyone
M2Mon		<br>‘Do|<br>The Lord said … ‘Do
M2Tue		<br>‘Beware|<br>The Lord said … ‘Beware
M2Wed		<br>‘Not|<br>The Lord said … ‘Not
M2Thu		<br>He|<br>Jesus
M2Fri		<br>Then John’s disciples came to him|<br>John’s disciples came to Jesus
M2Sat		<br>‘Do|<br>The Lord said … ‘Do
M2Sun		<br>Walking beside the sea of Galilee he|<br>Walking beside the sea of Galilee Jesus
M3Mon		<br>On seeing the crowds, he|<br>On seeing the crowds, Jesus
M3Tue		<br>‘Do|<br>The Lord said to the Twelve … ‘Do
M3Wed		<br>‘Listen|<br>The Lord said to the Twelve … ‘Listen
